Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,AK,99726*,,0.000%,BETTLES FIELD,,0,,
US,AK,99727*,,6.000%,BUCKLAND,,0,,
US,AK,99729*,,0.000%,CANTWELL,,0,,
US,AK,99730*,,0.000%,CENTRAL,,0,,
US,AK,99731*,,0.000%,DELTA JUNCTION,,0,,
US,AK,99732*,,0.000%,CHICKEN,,0,,
US,AK,99733*,,0.000%,CIRCLE,,0,,
US,AK,99734*,,0.000%,PRUDHOE BAY,,0,,
US,AK,99736*,,3.000%,DEERING,,0,,
US,AK,99737*,,0.000%,BIG DELTA,,0,,
US,AK,99738*,,0.000%,EAGLE,,0,,
US,AK,99739*,,3.000%,ELIM,,0,,
US,AK,99740*,,0.000%,BIRCH CREEK,,0,,
US,AK,99741*,,3.000%,GALENA,,0,,
US,AK,99742*,,3.000%,GAMBELL,,0,,
US,AK,99743*,,0.000%,FERRY,,0,,
US,AK,99744*,,0.000%,ANDERSON,,0,,
US,AK,99745*,,0.000%,HUGHES,,0,,
US,AK,99746*,,0.000%,HUSLIA,,0,,
US,AK,99747*,,0.000%,KAKTOVIK,,0,,
US,AK,99748*,,0.000%,KALTAG,,0,,
US,AK,99749*,,3.000%,KIANA,,0,,
US,AK,99750*,,2.000%,KIVALINA,,0,,
US,AK,99751*,,3.000%,KOBUK,,0,,
US,AK,99752*,,6.000%,KOTZEBUE,,0,,
US,AK,99753*,,3.000%,KOYUK,,0,,
US,AK,99754*,,0.000%,KOYUKUK,,0,,
US,AK,99755*,,0.000%,DENALI NATIONAL PARK,,0,,
US,AK,99756*,,0.000%,LIVENGOOD,,0,,
US,AK,99757*,,0.000%,LAKE MINCHUMINA,,0,,
US,AK,99758*,,0.000%,MINTO,,0,,
US,AK,99759*,,0.000%,BARROW,,0,,
US,AK,99760*,,4.000%,NENANA,,0,,
US,AK,99761*,,0.000%,NOATAK,,0,,
US,AK,99762*,,0.000%,COUNCIL,,0,,
US,AK,99763*,,4.000%,NOORVIK,,0,,
US,AK,99764*,,0.000%,ALCAN,,0,,
US,AK,99765*,,0.000%,NULATO,,0,,
US,AK,99766*,,3.000%,POINT HOPE,,0,,
US,AK,99767*,,0.000%,RAMPART,,0,,
US,AK,99768*,,0.000%,RUBY,,0,,
US,AK,99769*,,4.000%,SAVOONGA,,0,,
US,AK,99770*,,6.500%,SELAWIK,,0,,
US,AK,99771*,,4.000%,SHAKTOOLIK,,0,,
US,AK,99772*,,3.000%,SHISHMAREF,,0,,
US,AK,99773*,,2.000%,SHUNGNAK,,0,,
US,AK,99774*,,0.000%,STEVENS VILLAGE,,0,,
US,AK,99775*,,0.000%,FAIRBANKS,,0,,
US,AK,99776*,,0.000%,TANACROSS,,0,,
US,AK,99777*,,2.000%,TANANA,,0,,
US,AK,99778*,,3.000%,TELLER,,0,,
US,AK,99780*,,0.000%,MENTASTA LAKE,,0,,
US,AK,99781*,,0.000%,VENETIE,,0,,
US,AK,99782*,,0.000%,WAINWRIGHT,,0,,
US,AK,99783*,,3.000%,WALES,,0,,
US,AK,99784*,,1.000%,WHITE MOUNTAIN,,0,,
US,AK,99785*,,3.000%,BREVIG MISSION,,0,,
US,AK,99786*,,3.000%,AMBLER,,0,,
US,AK,99788*,,0.000%,CHALKYITSIK,,0,,
US,AK,99789*,,0.000%,ALPINE,,0,,
US,AK,99790*,,0.000%,FAIRBANKS,,0,,
US,AK,99791*,,0.000%,ATQASUK,,0,,
US,AK,99801*,,5.000%,JUNEAU,,0,,
US,AK,99802*,,5.000%,JUNEAU,,0,,
US,AK,99803*,,5.000%,JUNEAU,,0,,
US,AK,99811*,,5.000%,JUNEAU,,0,,
US,AK,99812*,,5.000%,JUNEAU,,0,,
US,AK,99820*,,3.000%,ANGOON,,0,,
US,AK,99821*,,5.000%,AUKE BAY,,0,,
US,AK,99824*,,5.000%,DOUGLAS,,0,,
US,AK,99825*,,0.000%,ELFIN COVE,,0,,
US,AK,99826*,,3.000%,GUSTAVUS,,0,,
US,AK,99827*,,5.500%,COVENANT LIFE,,0,,
US,AK,99829*,,0.000%,GAME CREEK,,0,,
US,AK,99830*,,5.000%,KAKE,,0,,
US,AK,99832*,,4.000%,PELICAN,,0,,
US,AK,99833*,,0.000%,KUPREANOF,,0,,
US,AK,99835*,,5.000%,SITKA,,0,,
US,AK,99836*,,4.000%,PORT ALEXANDER,,0,,
US,AK,99840*,,3.000%,SKAGWAY,,0,,
US,AK,99841*,,2.000%,TENAKEE SPRINGS,,0,,
US,AK,99850*,,0.000%,CUBE COVE,,0,,
US,AK,99901*,,2.500%,KASAAN,,0,,
US,AK,99903*,,6.500%,KETCHIKAN,,0,,
US,AK,99918*,,0.000%,COFFMAN COVE,,0,,
US,AK,99919*,,6.000%,THORNE BAY,,0,,
US,AK,99921*,,5.000%,CRAIG,,0,,
US,AK,99922*,,6.000%,HYDABURG,,0,,
US,AK,99923*,,0.000%,HYDER,,0,,
US,AK,99925*,,6.500%,KLAWOCK,,0,,
US,AK,99926*,,0.000%,METLAKATLA,,0,,
US,AK,99927*,,0.000%,POINT BAKER,,0,,
US,AK,99928*,,2.500%,WARD COVE,,0,,
US,AK,99929*,,0.000%,THOMS PLACE,,0,,
US,AK,99950*,,0.000%,HOLLIS,,0,,
US,AL,35004*,,10.000%,MOODY,,0,,
US,AL,35005*,,10.000%,ADAMSVILLE,,0,,
US,AL,35006*,,9.000%,ABERNANT,,0,,
US,AL,35007*,,10.000%,ALABASTER,,0,,
US,AL,35010*,,10.000%,ALEXANDER CITY,,0,,
US,AL,35011*,,10.000%,ALEXANDER CITY,,0,,
US,AL,35013*,,10.000%,ALLGOOD,,0,,
US,AL,35014*,,7.000%,ALPINE,,0,,
US,AL,35015*,,6.000%,ALTON,,0,,
US,AL,35016*,,12.500%,ARAB,,0,,
US,AL,35019*,,8.500%,BAILEYTON,,0,,
US,AL,35020*,,10.000%,BESSEMER,,0,,
US,AL,35021*,,10.000%,BESSEMER,,0,,
US,AL,35022*,,10.000%,BESSEMER,,0,,
US,AL,35023*,,10.000%,BESSEMER,,0,,
US,AL,35031*,,9.000%,BLOUNTSVILLE,,0,,
US,AL,35032*,,7.000%,BON AIR,,0,,
US,AL,35033*,,8.500%,BREMEN,,0,,
US,AL,35034*,,10.000%,BRENT,,0,,
US,AL,35035*,,8.000%,BRIERFIELD,,0,,
US,AL,35036*,,10.000%,BROOKSIDE,,0,,
US,AL,35038*,,6.000%,BURNWELL,,0,,
US,AL,35040*,,9.000%,CALERA,,0,,
US,AL,35042*,,10.000%,CENTREVILLE,,0,,
US,AL,35043*,,10.000%,CHELSEA,,0,,
US,AL,35044*,,9.000%,CHILDERSBURG,,0,,
US,AL,35045*,,10.000%,CLANTON,,0,,
US,AL,35046*,,10.000%,CLANTON,,0,,
US,AL,35048*,,10.000%,CLAY,,0,,
US,AL,35049*,,9.000%,CLEVELAND,,0,,
US,AL,35051*,,9.000%,COLUMBIANA,,0,,
US,AL,35052*,,6.000%,COOK SPRINGS,,0,,
US,AL,35053*,,8.000%,ARLEY,,0,,
US,AL,35054*,,6.000%,CROPWELL,,0,,
US,AL,35055*,,9.000%,CULLMAN,,0,,
US,AL,35056*,,9.000%,CULLMAN,,0,,
US,AL,35057*,,9.000%,CULLMAN,,0,,
US,AL,35058*,,9.000%,CULLMAN,,0,,
US,AL,35060*,,6.000%,DOCENA,,0,,
US,AL,35061*,,6.000%,DOLOMITE,,0,,
US,AL,35062*,,9.000%,DORA,,0,,
US,AL,35063*,,6.000%,EMPIRE,,0,,
US,AL,35064*,,10.000%,FAIRFIELD,,0,,
US,AL,35068*,,10.000%,FULTONDALE,,0,,
US,AL,35070*,,9.000%,GARDEN CITY,,0,,
US,AL,35071*,,10.000%,GARDENDALE,,0,,
US,AL,35072*,,10.000%,ALEXANDER CITY,,0,,
US,AL,35073*,,10.000%,GRAYSVILLE,,0,,
US,AL,35074*,,8.000%,GREEN POND,,0,,
US,AL,35077*,,8.500%,COLONY,,0,,
US,AL,35078*,,9.000%,HARPERSVILLE,,0,,
US,AL,35079*,,9.000%,HAYDEN,,0,,
US,AL,35080*,,10.000%,HELENA,,0,,
US,AL,35082*,,6.000%,HOLLINS,,0,,
US,AL,35083*,,8.500%,HOLLY POND,,0,,
US,AL,35085*,,11.000%,JEMISON,,0,,
US,AL,35087*,,9.000%,ARAB,,0,,
US,AL,35089*,,10.000%,ALEXANDER CITY,,0,,
US,AL,35091*,,10.000%,KIMBERLY,,0,,
US,AL,35094*,,10.000%,LEEDS,,0,,
US,AL,35096*,,7.000%,EASTABOGA,,0,,
US,AL,35097*,,9.000%,LOCUST FORK,,0,,
US,AL,35098*,,9.000%,ADDISON,,0,,
US,AL,35111*,,8.000%,GREEN POND,,0,,
US,AL,35112*,,10.000%,MARGARET,,0,,
US,AL,35114*,,10.000%,ALABASTER,,0,,
US,AL,35115*,,8.000%,BRIERFIELD,,0,,
US,AL,35116*,,10.000%,MORRIS,,0,,
US,AL,35117*,,6.000%,MOUNT OLIVE,,0,,
US,AL,35118*,,9.000%,MULGA,,0,,
US,AL,35119*,,6.000%,NEW CASTLE,,0,,
US,AL,35120*,,9.000%,BRANCHVILLE ODENVILLE,,0,,
US,AL,35121*,,10.000%,ALTOONA,,0,,
US,AL,35123*,,6.000%,PALMERDALE,,0,,
US,AL,35124*,,7.000%,INDIAN SPRINGS VILLAGE,,0,,
US,AL,35125*,,10.000%,PELL CITY,,0,,
US,AL,35126*,,10.000%,PINSON,,0,,
US,AL,35127*,,10.000%,PLEASANT GROVE,,0,,
US,AL,35128*,,10.000%,PELL CITY,,0,,
US,AL,35130*,,6.000%,QUINTON,,0,,
US,AL,35131*,,10.000%,RAGLAND,,0,,
US,AL,35133*,,7.000%,REMLAP,,0,,
US,AL,35135*,,10.000%,RIVERSIDE,,0,,
US,AL,35136*,,9.000%,ROCKFORD,,0,,
US,AL,35137*,,5.000%,SAGINAW,,0,,
US,AL,35139*,,10.000%,GRAYSVILLE,,0,,
US,AL,35142*,,9.500%,HOOVER,,0,,
US,AL,35143*,,5.000%,SHELBY,,0,,
US,AL,35144*,,10.000%,ALABASTER,,0,,
US,AL,35146*,,10.000%,ARGO,,0,,
US,AL,35147*,,5.000%,STERRETT,,0,,
US,AL,35148*,,10.000%,SUMITON,,0,,
US,AL,35149*,,7.000%,SYCAMORE,,0,,
US,AL,35150*,,8.000%,OAK GROVE,,0,,
US,AL,35151*,,8.000%,OAK GROVE,,0,,
US,AL,35160*,,9.000%,ASHLAND,,0,,
US,AL,35161*,,10.000%,TALLADEGA,,0,,
US,AL,35171*,,10.000%,THORSBY,,0,,
US,AL,35172*,,9.000%,COUNTY LINE,,0,,
US,AL,35173*,,10.000%,ARGO,,0,,
US,AL,35175*,,11.000%,CHEROKEE RIDGE,,0,,
US,AL,35176*,,5.000%,VANDIVER,,0,,
US,AL,35178*,,10.000%,VINCENT,,0,,
US,AL,35179*,,9.000%,EVA,,0,,
US,AL,35180*,,9.000%,HAYDEN,,0,,
US,AL,35181*,,6.000%,WATSON,,0,,
US,AL,35182*,,6.000%,WATTSVILLE,,0,,
US,AL,35183*,,6.000%,WEOGUFKA,,0,,
US,AL,35184*,,10.000%,VANCE,,0,,
US,AL,35185*,,10.000%,WESTOVER,,0,,
US,AL,35186*,,8.000%,WILSONVILLE,,0,,
US,AL,35187*,,8.000%,WILTON,,0,,
US,AL,35188*,,9.000%,LAKE VIEW,,0,,
US,AL,35201*,,10.000%,BIRMINGHAM,,0,,
US,AL,35202*,,10.000%,BIRMINGHAM,,0,,
US,AL,35203*,,10.000%,BIRMINGHAM,,0,,
US,AL,35204*,,10.000%,BIRMINGHAM,,0,,
US,AL,35205*,,10.000%,BIRMINGHAM,,0,,
US,AL,35206*,,10.000%,BIRMINGHAM,,0,,
US,AL,35207*,,10.000%,BIRMINGHAM,,0,,
US,AL,35208*,,10.000%,BIRMINGHAM,,0,,
US,AL,35209*,,10.000%,BIRMINGHAM,,0,,
US,AL,35210*,,10.000%,BIRMINGHAM,,0,,
US,AL,35211*,,10.000%,BIRMINGHAM,,0,,
US,AL,35212*,,10.000%,BIRMINGHAM,,0,,
US,AL,35213*,,10.000%,BIRMINGHAM,,0,,
US,AL,35214*,,10.000%,BIRMINGHAM,,0,,
US,AL,35215*,,10.000%,BIRMINGHAM,,0,,
US,AL,35216*,,10.000%,BIRMINGHAM,,0,,
US,AL,35217*,,10.000%,BIRMINGHAM,,0,,
US,AL,35218*,,10.000%,BIRMINGHAM,,0,,
US,AL,35219*,,10.000%,BIRMINGHAM,,0,,
US,AL,35220*,,10.000%,BIRMINGHAM,,0,,
US,AL,35221*,,10.000%,BIRMINGHAM,,0,,
US,AL,35222*,,10.000%,BIRMINGHAM,,0,,
US,AL,35223*,,10.000%,BIRMINGHAM,,0,,
US,AL,35224*,,10.000%,BIRMINGHAM,,0,,
US,AL,35226*,,10.000%,BIRMINGHAM,,0,,
US,AL,35228*,,10.000%,BIRMINGHAM,,0,,
US,AL,35229*,,10.000%,BIRMINGHAM,,0,,
US,AL,35231*,,10.000%,BIRMINGHAM,,0,,
US,AL,35232*,,10.000%,BIRMINGHAM,,0,,
US,AL,35233*,,10.000%,BIRMINGHAM,,0,,
US,AL,35234*,,10.000%,BIRMINGHAM,,0,,
US,AL,35235*,,10.000%,BIRMINGHAM,,0,,
US,AL,35236*,,10.000%,BIRMINGHAM,,0,,
US,AL,35237*,,10.000%,BIRMINGHAM,,0,,
US,AL,35238*,,10.000%,BIRMINGHAM,,0,,
US,AL,35242*,,9.000%,BIRMINGHAM,,0,,
US,AL,35243*,,10.000%,BIRMINGHAM,,0,,
US,AL,35244*,,10.000%,BIRMINGHAM,,0,,
US,AL,35246*,,10.000%,BIRMINGHAM,,0,,
US,AL,35249*,,10.000%,BIRMINGHAM,,0,,
US,AL,35253*,,10.000%,BIRMINGHAM,,0,,
US,AL,35254*,,10.000%,BIRMINGHAM,,0,,
US,AL,35255*,,10.000%,BIRMINGHAM,,0,,
US,AL,35259*,,10.000%,BIRMINGHAM,,0,,
US,AL,35260*,,10.000%,BIRMINGHAM,,0,,
US,AL,35261*,,10.000%,BIRMINGHAM,,0,,
US,AL,35266*,,10.000%,BIRMINGHAM,,0,,
US,AL,35270*,,10.000%,BIRMINGHAM,,0,,
US,AL,35282*,,10.000%,BIRMINGHAM,,0,,
US,AL,35283*,,10.000%,BIRMINGHAM,,0,,
US,AL,35285*,,10.000%,BIRMINGHAM,,0,,
US,AL,35287*,,10.000%,BIRMINGHAM,,0,,
US,AL,35288*,,10.000%,BIRMINGHAM,,0,,
US,AL,35290*,,10.000%,BIRMINGHAM,,0,,
US,AL,35291*,,10.000%,BIRMINGHAM,,0,,
US,AL,35292*,,10.000%,BIRMINGHAM,,0,,
US,AL,35293*,,10.000%,BIRMINGHAM,,0,,
US,AL,35294*,,10.000%,BIRMINGHAM,,0,,
US,AL,35295*,,10.000%,BIRMINGHAM,,0,,
US,AL,35296*,,10.000%,BIRMINGHAM,,0,,
US,AL,35297*,,10.000%,BIRMINGHAM,,0,,
US,AL,35298*,,10.000%,BIRMINGHAM,,0,,
US,AL,35401*,,10.000%,TUSCALOOSA,,0,,
US,AL,35402*,,10.000%,TUSCALOOSA,,0,,
US,AL,35403*,,10.000%,TUSCALOOSA,,0,,
US,AL,35404*,,10.000%,TUSCALOOSA,,0,,
US,AL,35405*,,10.000%,TUSCALOOSA,,0,,
